iphone-11-pro-max,at-t,iphone-11-pro-max-64gb-at-t,497056-gpid,140,99
iphone-11-pro-max,at-t,iphone-11-pro-max-256gb-at-t,497062-gpid,214,214
iphone-11-pro-max,at-t,iphone-11-pro-max-512gb-at-t,497068-gpid,215,215
iphone-11-pro-max,sprint,iphone-11-pro-max-64gb-sprint,497057-gpid,146,97
iphone-11-pro-max,sprint,iphone-11-pro-max-256gb-sprint,497063-gpid,212,212
iphone-11-pro-max,sprint,iphone-11-pro-max-512gb-sprint,497069-gpid,212,212
iphone-11-pro-max,t-mobile,iphone-11-pro-max-64gb-t-mobile,497058-gpid,137,97
iphone-11-pro-max,t-mobile,iphone-11-pro-max-256gb-t-mobile,497064-gpid,212,212
iphone-11-pro-max,t-mobile,iphone-11-pro-max-512gb-t-mobile,497070-gpid,undefined,212
iphone-11-pro-max,verizon,iphone-11-pro-max-64gb-verizon,497059-gpid,212,212
iphone-11-pro-max,verizon,iphone-11-pro-max-256gb-verizon,497065-gpid,226,226
iphone-11-pro-max,verizon,iphone-11-pro-max-512gb-verizon,497071-gpid,226,226
iphone-11-pro-max,unlocked,iphone-11-pro-max-64gb-unlocked,497060-gpid,211,211
iphone-11-pro-max,unlocked,iphone-11-pro-max-256gb-unlocked,497066-gpid,228,228
iphone-11-pro-max,unlocked,iphone-11-pro-max-512gb-unlocked,497072-gpid,228,228
iphone-11-pro-max,other,iphone-11-pro-max-64gb-other,497061-gpid,204,204
iphone-11-pro-max,other,iphone-11-pro-max-256gb-other,497067-gpid,224,218
iphone-11-pro-max,other,iphone-11-pro-max-512gb-other,497073-gpid,228,218
iphone-11-pro,at-t,iphone-11-pro-64gb-at-t-,497038-gpid,123,88
iphone-11-pro,at-t,iphone-11-pro-256gb-at-t-,497044-gpid,204,204
iphone-11-pro,at-t,iphone-11-pro-512gb-at-t,497050-gpid,204,204
iphone-11-pro,sprint,iphone-11-pro-64gb-sprint-,497039-gpid,123,87
iphone-11-pro,sprint,iphone-11-pro-256gb-sprint,497045-gpid,202,202
iphone-11-pro,sprint,iphone-11-pro-512gb-sprint,497051-gpid,202,202
iphone-11-pro,t-mobile,iphone-11-pro-64gb-t-mobile-,497040-gpid,115,87
iphone-11-pro,t-mobile,iphone-11-pro-256gb-t-mobile,497046-gpid,202,202
iphone-11-pro,t-mobile,iphone-11-pro-512gb-t-mobile,497052-gpid,202,202
iphone-11-pro,verizon,iphone-11-pro-64gb-verizon-,497041-gpid,199,199
iphone-11-pro,verizon,iphone-11-pro-256gb-verizon,497047-gpid,206,206
iphone-11-pro,verizon,iphone-11-pro-512gb-verizon,497053-gpid,206,206
iphone-11-pro,unlocked,iphone-11-pro-64gb-unlocked-,497042-gpid,199,199
iphone-11-pro,unlocked,iphone-11-pro-256gb-unlocked,497048-gpid,207,207
iphone-11-pro,unlocked,iphone-11-pro-512gb-unlocked,497054-gpid,207,207
iphone-11-pro,other,iphone-11-pro-64gb-other-,497043-gpid,166,90
iphone-11-pro,other,iphone-11-pro-256gb-other,497049-gpid,204,204
iphone-11-pro,other,iphone-11-pro-512gb-other,497055-gpid,204,204
iphone-11,at-t,iphone-11-64gb-at-t,497020-gpid,134,134
iphone-11,at-t,iphone-11-128gb-at-t,497026-gpid,137,137
iphone-11,at-t,iphone-11-256gb-at-t,497032-gpid,137,137
iphone-11,sprint,iphone-11-64gb-sprint,497021-gpid,135,135
iphone-11,sprint,iphone-11-128gb-sprint,497027-gpid,136,136
iphone-11,sprint,iphone-11-256gb-sprint,497033-gpid,136,136
iphone-11,t-mobile,iphone-11-64gb-t-mobile,497022-gpid,133,133
iphone-11,t-mobile,iphone-11-128gb-t-mobile,497028-gpid,136,136
iphone-11,t-mobile,iphone-11-256gb-t-mobile,497034-gpid,136,136
iphone-11,verizon,iphone-11-64gb-verizon,497023-gpid,142,142
iphone-11,verizon,iphone-11-128gb-verizon,497029-gpid,144,144
iphone-11,verizon,iphone-11-256gb-verizon,497035-gpid,144,144
iphone-11,unlocked,iphone-11-64gb-unlocked,497024-gpid,146,146
iphone-11,unlocked,iphone-11-128gb-unlocked,497030-gpid,147,147
iphone-11,unlocked,iphone-11-256gb-unlocked,497036-gpid,147,147
iphone-11,other,iphone-11-64gb-other,497025-gpid,137,137
iphone-11,other,iphone-11-128gb-other,497031-gpid,145,141
iphone-11,other,iphone-11-256gb-other,497037-gpid,143,140
iphone-xs-max,at-t,iphone-xs-max-64gb-at-t,496768-gpid,94,86
iphone-xs-max,at-t,iphone-xs-max-256gb-at-t,496788-gpid,107,86
iphone-xs-max,at-t,iphone-xs-max-512gb-at-t,496802-gpid,108,86
iphone-xs-max,sprint,iphone-xs-max-64gb-sprint,496771-gpid,106,83
iphone-xs-max,sprint,iphone-xs-max-256gb-sprint,496791-gpid,104,85
iphone-xs-max,sprint,iphone-xs-max-512gb-sprint,496804-gpid,104,85
